Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
05-09-2018,HDFCBANK,EQ,2051.8,2053.8,2060.2,2035.55,2044.35,2045.85,2044.77,1410377,2.8839E+14,73829,797823,0.5657
06-09-2018,HDFCBANK,EQ,2045.85,2049,2059,2032.6,2050.15,2052.2,2044.28,2600603,5.31636E+14,125530,1571661,0.6043
07-09-2018,HDFCBANK,EQ,2052.2,2051,2060,2040.75,2059,2056.95,2049.34,1479825,3.03266E+14,78038,879399,0.5943
10-09-2018,HDFCBANK,EQ,2056.95,2055,2055,2025.1,2039,2041.15,2035.83,2149648,4.37632E+14,81719,1391506,0.6473
11-09-2018,HDFCBANK,EQ,2041.15,2046.3,2048,1994.15,2000.1,2000.4,2016.36,4546634,9.16765E+14,134132,3634555,0.7994
12-09-2018,HDFCBANK,EQ,2000.4,2001.9,2021.35,1989.55,2017.8,2011.85,2003.65,3061502,6.13419E+14,106281,2063215,0.6739
14-09-2018,HDFCBANK,EQ,2011.85,2019.85,2037.4,2018.95,2027.75,2029.6,2025.31,2583668,5.23274E+14,104303,1910009,0.7393
17-09-2018,HDFCBANK,EQ,2029.6,2021.3,2022.95,1988,1991.95,1992.2,1996.62,2334555,4.66123E+14,98788,1707061,0.7312
18-09-2018,HDFCBANK,EQ,1992.2,1994.9,2009.85,1980.95,1991,1989.2,1996.22,2331434,4.65407E+14,119091,1494911,0.6412
19-09-2018,HDFCBANK,EQ,1989.2,1994.85,1998,1956.5,1962.15,1961.35,1972.12,4178066,8.23964E+14,158841,2892899,0.6924
21-09-2018,HDFCBANK,EQ,1961.35,1973.9,1999.85,1910.2,1976,1970.25,1972.83,5652537,1.11515E+15,159768,3618031,0.6401
24-09-2018,HDFCBANK,EQ,1970.25,1967.25,1972.2,1915,1922,1925.7,1944.39,3347698,6.50924E+14,144878,2192667,0.655
25-09-2018,HDFCBANK,EQ,1925.7,1925.7,1962,1915,1961.7,1952.4,1936.01,4170638,8.07441E+14,125022,2492934,0.5977
26-09-2018,HDFCBANK,EQ,1952.4,1962.95,1978,1955.3,1966.05,1968.2,1966.04,3681681,7.23834E+14,145107,2807141,0.7625
27-09-2018,HDFCBANK,EQ,1968.2,1969.4,1986,1955.15,1978.1,1976.15,1972.52,4588052,9.05004E+14,116913,3341974,0.7284
28-09-2018,HDFCBANK,EQ,1976.15,1980.65,2015.45,1977.15,2008.5,2006.05,2002.53,3615179,7.2395E+14,106240,2096118,0.5798
01-10-2018,HDFCBANK,EQ,2006.05,2009.8,2042,1997.8,2039.9,2035.45,2020.89,3112397,6.2898E+14,137110,2063063,0.6629
03-10-2018,HDFCBANK,EQ,2035.45,2030.45,2052.2,2007,2031,2031.15,2030.01,3833037,7.7811E+14,186478,2644623,0.69
04-10-2018,HDFCBANK,EQ,2031.15,2008,2017.8,1943,1945,1957.75,1977.74,4492646,8.88527E+14,153828,2558885,0.5696
05-10-2018,HDFCBANK,EQ,1957.75,1953.95,1990,1940.15,1950,1965.3,1969.01,3932295,7.74273E+14,128211,2248905,0.5719
08-10-2018,HDFCBANK,EQ,1965.3,1965,1969,1930,1940,1945,1952.44,5032005,9.82467E+14,169225,3483442,0.6923
09-10-2018,HDFCBANK,EQ,1945,1944.4,1965,1930,1945.95,1940.6,1944.92,3114841,6.05813E+14,88603,1953889,0.6273
10-10-2018,HDFCBANK,EQ,1940.6,1945,1982.25,1935.5,1968.4,1967.15,1963.16,3984983,7.82316E+14,117923,2403363,0.6031
11-10-2018,HDFCBANK,EQ,1967.15,1925,1948.3,1917.6,1941,1937.55,1931.15,3589976,6.9328E+14,129986,2331832,0.6495
12-10-2018,HDFCBANK,EQ,1937.55,1945,1997.1,1942,1977,1981.85,1981.23,2400080,4.75511E+14,93778,1539425,0.6414
15-10-2018,HDFCBANK,EQ,1981.85,1990,2010.8,1970.3,2009.7,2008.05,1994.75,3146492,6.27646E+14,109332,2245706,0.7137
16-10-2018,HDFCBANK,EQ,2008.05,2003,2018.2,1987.5,1989.6,1992.75,2002.38,2351501,4.70861E+14,97545,1333177,0.5669
17-10-2018,HDFCBANK,EQ,1992.75,2006.1,2013,1963.5,1974.65,1974.6,1995.84,1985199,3.96214E+14,67208,941791,0.4744
19-10-2018,HDFCBANK,EQ,1974.6,1958.9,1980.85,1958,1970,1967.75,1968.79,2466837,4.85669E+14,126597,1527531,0.6192
22-10-2018,HDFCBANK,EQ,1967.75,2014,2020,1988.6,1998.3,1998.9,2000.42,5082790,1.01677E+15,218564,2846739,0.5601
23-10-2018,HDFCBANK,EQ,1998.9,1973,1998.9,1973,1985,1984.85,1987.49,4857141,9.65352E+14,199917,3793841,0.7811
24-10-2018,HDFCBANK,EQ,1984.85,2004,2008.8,1972.6,1992,1992.25,1990.39,4518084,8.99273E+14,197249,3218397,0.7123
25-10-2018,HDFCBANK,EQ,1992.25,1973.6,2003.6,1962.45,1972,1968.8,1975.89,7461764,1.47436E+15,154138,5177476,0.6939
26-10-2018,HDFCBANK,EQ,1968.8,1968.8,1977.2,1949,1961.2,1961.2,1962.89,3788928,7.43725E+14,111281,2779751,0.7337
29-10-2018,HDFCBANK,EQ,1961.2,1964.1,1964.95,1895.2,1929.9,1926.3,1915.87,4261070,8.16367E+14,134982,1911410,0.4486
30-10-2018,HDFCBANK,EQ,1926.3,1925,1932,1899.3,1912,1912.75,1917.66,3457176,6.62968E+14,116901,2095481,0.6061
31-10-2018,HDFCBANK,EQ,1912.75,1902.05,1917.9,1885,1906,1911.75,1899.44,5862351,1.11352E+15,175024,4061738,0.6929
01-11-2018,HDFCBANK,EQ,1911.75,1930,1930,1896,1911.7,1912.2,1911.87,4907263,9.38202E+14,156362,2847446,0.5803
02-11-2018,HDFCBANK,EQ,1912.2,1926,1960,1912,1950,1949.45,1932.67,7523217,1.45399E+15,261775,5270015,0.7005
05-11-2018,HDFCBANK,EQ,1949.45,1949.9,1959.65,1938,1959.6,1956,1949.18,1426324,2.78016E+14,81177,663132,0.4649
06-11-2018,HDFCBANK,EQ,1956,1955,1976,1942.95,1948.3,1946.55,1963.84,2121397,4.16609E+14,83625,958206,0.4517
07-11-2018,HDFCBANK,EQ,1946.55,1961,1964.95,1950,1960,1957.95,1957.17,239690,4.69113E+13,11247,130511,0.5445
09-11-2018,HDFCBANK,EQ,1957.95,1958.2,1959.9,1936.3,1943.3,1945.4,1949.37,2525405,4.92295E+14,95895,1781131,0.7053
12-11-2018,HDFCBANK,EQ,1945.4,1951.5,1962,1917.15,1920.85,1921.05,1935.97,1976941,3.82729E+14,74961,1315900,0.6656
13-11-2018,HDFCBANK,EQ,1921.05,1919,1937.7,1908.2,1929.55,1927.75,1922.55,3337605,6.41671E+14,94849,2478130,0.7425
14-11-2018,HDFCBANK,EQ,1927.75,1938.55,1960,1936.6,1959.9,1957.75,1945.75,6527659,1.27012E+15,130711,5161560,0.7907
15-11-2018,HDFCBANK,EQ,1957.75,1961.9,1977.3,1931.2,1973.1,1975.15,1970.02,2598131,5.11837E+14,81525,1644704,0.633
16-11-2018,HDFCBANK,EQ,1975.15,1981,2013,1980,2002.8,2004.3,2002.21,3953304,7.91533E+14,159078,2739135,0.6929
19-11-2018,HDFCBANK,EQ,2004.3,2011,2021,2001.9,2016.1,2013.9,2014.67,3071607,6.18826E+14,83092,2360849,0.7686
