Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
05-09-2018,UPL,EQ,698.6,698.9,712.5,683.5,697.35,697.35,700.05,5272834,3.69126E+14,86641,2332672,0.4424
06-09-2018,UPL,EQ,697.35,701.4,709.45,696.75,708,705.05,702.93,2053405,1.44339E+14,49205,617115,0.3005
07-09-2018,UPL,EQ,705.05,708.7,718,701.75,715,714,712.97,1932868,1.37807E+14,49747,442413,0.2289
10-09-2018,UPL,EQ,714,714.95,722.8,700.6,707,703.25,711.57,1665735,1.18529E+14,35561,335495,0.2014
11-09-2018,UPL,EQ,703.25,707.5,715,682.3,686.35,687.65,691.92,2626499,1.81732E+14,54417,782564,0.2979
12-09-2018,UPL,EQ,687.65,692.2,706,680.1,703.9,703.65,693.45,1353322,9.38468E+13,33678,208086,0.1538
14-09-2018,UPL,EQ,703.65,710,738.9,709.1,738,736.75,730.38,3848531,2.8109E+14,75530,1057729,0.2748
17-09-2018,UPL,EQ,736.75,734.9,735.95,722,722.4,723.5,728.5,1600458,1.16593E+14,42155,208036,0.13
18-09-2018,UPL,EQ,723.5,727,738.15,704.65,708.5,709.05,726.38,2627124,1.90828E+14,54250,542337,0.2064
19-09-2018,UPL,EQ,709.05,714,715.75,688,692.5,692.3,700.31,2618411,1.83371E+14,57531,996420,0.3805
21-09-2018,UPL,EQ,692.3,692.5,709,588.5,666,665.8,665.11,5107837,3.39729E+14,64858,2012082,0.3939
24-09-2018,UPL,EQ,665.8,669,672,639.95,655.25,651.4,653.48,2641335,1.72606E+14,37558,1086984,0.4115
25-09-2018,UPL,EQ,651.4,651.3,664.9,639.95,661.15,660.95,650.38,1960748,1.27524E+14,46277,688378,0.3511
26-09-2018,UPL,EQ,660.95,664,705,653.75,701.45,697.55,681.56,3830064,2.6104E+14,66920,1134484,0.2962
27-09-2018,UPL,EQ,697.55,702.45,703.5,678.65,682,683.1,689.14,2626141,1.80978E+14,57882,795227,0.3028
28-09-2018,UPL,EQ,683.1,685,690.6,655,664.65,664.3,672.27,1536357,1.03285E+14,44063,410807,0.2674
01-10-2018,UPL,EQ,664.3,664.65,670,638.15,667.5,665.6,651.8,2029698,1.32295E+14,48791,368372,0.1815
03-10-2018,UPL,EQ,665.6,666,669.1,639.4,642,642.65,645.98,3496373,2.25858E+14,70495,1816318,0.5195
04-10-2018,UPL,EQ,642.65,630.05,645.45,621.2,629.2,628.75,635.15,2463238,1.56452E+14,44772,967073,0.3926
05-10-2018,UPL,EQ,628.75,627.8,631.95,590.65,597.5,596.65,616.42,2554877,1.57489E+14,57757,1149786,0.45
